FeatureStateId;description;featureStateId
CXC4011559;Dynamic SCell Selection For Carrier Aggregation;CXC4011559
CXC4011558;MBMS Multi-Carrier Support;CXC4011558
CXC4011823;Virtual Routers;CXC4011823
CXC4011714;ThreeDlCarrierAggregation;CXC4011714
CXC4011933;UE Location at Release;CXC4011933
CXC4010973;Redirect with System Information;CXC4010973
CXC4010912;Efficient DRX/DTX for Connected UE;CXC4010912
CXC4011252;Public Warning System;CXC4011252
CXC4011914;VoLTE Frequency Hopping;CXC4011914
CXC4011667;4x4 Quad Antenna Downlink;CXC4011667
CXC4010841;Cell ID Based Location Support;CXC4010841
CXC4011557;Inter-Frequency Offload;CXC4011557
CXC4011011;WCDMA IRAT handover coverage triggered;CXC4011011
CXC4011477;Service Specific Load Management;CXC4011477
CXC4011664;Measurement-Based CSFB Target Selection;CXC4011664
CXC4010717;PmInitiatedUeMeasurements;CXC4010717
CXC4011929;Uplink Spectrum Analysis;CXC4011929
CXC4011057;End-User Bitrate Shaping;CXC4011057
CXC4011476;CarrierAggregation;CXC4011476
CXC4010967;Maximum Cell Range;CXC4010967
CXC4011050;TCP Optimization;CXC4011050
CXC4011918;Service Specific Inactivity Timer;CXC4011918
CXC4011444;Uplink Coordinated Multi-Point Reception;CXC4011444
CXC4011911;UE Throughput-Aware IFLB;CXC4011911
CXC4011056;Quad Antenna Uplink Performance Package;CXC4011056
CXC4011913;Downlink Coordinated Multi-Point;CXC4011913
CXC4010723;Multiple Radio Bearers per User;CXC4010723
CXC4011067;A-GPS Control Plane Location Support;CXC4011067
CXC4011910;CQI and PUSCH SINR and Received Power in Traces;CXC4011910
CXC4011966;Limited Uplink Aware IFLB;CXC4011966
CXC4011258;Variable SR and CQI Periodicity;CXC4011258
CXC4011807;Load-Based Access Barring;CXC4011807
CXC4010618;GERAN Session Continuity Coverage-Triggered;CXC4010618
CXC4011513;Enhanced CS Fallback to CDMA 1X;CXC4011513
CXC4011842;PsiCoverage;CXC4011842
CXC4011065;;CXC4011065
CXC4011242;Transmit Data Cloning;CXC4011242
CXC4011941;Inactivity-Triggered PUCCH Release at High Load;CXC4011941
CXC4011246;Automated RACH Root Sequence Allocation;CXC4011246
CXC4011808;MIMO Sleep Mode;CXC4011808
CXC4011075;Packet Forwarding at S1 Handover;CXC4011075
CXC4011554;IFLB Activation Threshold;CXC4011554
CXC4011255;Downlink Frequency-Selective Scheduling;CXC4011255
CXC4011649;OSPFv2;CXC4011649
CXC4011810;Non-planned PCI Range;CXC4011810
CXC4011422;Antenna System Monitoring;CXC4011422
CXC4011555;Internal MCE;CXC4011555
CXC4011713;Dynamic Load Control;CXC4011713
CXC4011951;Differentiated UE Handling;CXC4011951
CXC4011069;Enhanced Cell ID Control Plane Location Support;CXC4011069
CXC4011482;Enhanced PDCCH Link Adaptation;CXC4011482
CXC4011370;Best Neighbor Relations for Intra-LTE Load Management;CXC4011370
CXC4011967;Advanced Differentiation For Resource Fair Scheduling;CXC4011967
CXC4010990;Robust Header Compression;CXC4010990
CXC4010956;CS Fallback to GERAN and UTRAN;CXC4010956
CXC4011372;LPPa-based E-CID Support;CXC4011372
CXC4010620;Anr;CXC4010620
CXC4010980;Pucch OverDimensioning;CXC4010980
CXC4011055;Limited Service Mode Emergency Call Support;CXC4011055
CXC4010511;Ue throughput based mobility to Wi-Fi;CXC4010511
CXC4011804;Inter-Frequency OTDOA;CXC4011804
CXC4010856;RbsEventStreamer;CXC4010856
CXC4011813;PHICH Group Spreading;CXC4011813
CXC4011698;Coverage-Adapted Load Management;CXC4011698
CXC4011317;6 Cell Support;CXC4011317
CXC4011060;Dynamic GBR Admission Control;CXC4011060
CXC4011072;Uplink-Triggered Inter-Frequency Mobility;CXC4011072
CXC4011938;Prioritized SR Scheduling;CXC4011938
CXC4011478;InterRatOffloadToUtran;CXC4011478
CXC4011931;Test of framework for optional PM Events;CXC4011931
CXC4011254;Octal Antenna Uplink Performance Package;CXC4011254
CXC4011481;Lppa-based OTDOA Support;CXC4011481
CXC4010963;A-GPS User Plane Location Support;CXC4010963
CXC4011736;Service or Priority-Triggered Inter-Frequency Handover;CXC4011736
CXC4011932;Test of framework for optional PM Event parameters;CXC4011932
CXC4010320;AdvCellSup;CXC4010320
CXC4011157;HoOscCtrlUE;CXC4011157
CXC4011377;CS Fallback to CDMA 1X;CXC4011377
CXC4010319;Interference  Rejection Combining;CXC4010319
CXC4011942;Prioritization of VoLTE in Access Barring;CXC4011942
CXC4011943;Uplink Multiuser MIMO;CXC4011943
CXC4011710;RAN Grand Master;CXC4011710
CXC4011059;Service triggered mobility;CXC4011059
CXC4011613;Internal 1;CXC4011613
CXC4011247;SRVCC Handover to UTRAN;CXC4011247
CXC4011515;PDCCH Power Boost;CXC4011515
CXC4011018;Mixed Mode Radio LTE;CXC4011018
CXC4011939;Release Inactive UE at High Load Handover;CXC4011939
CXC4011183;Pci;CXC4011183
CXC4011820;Uplink Interference Reporting;CXC4011820
CXC4010964;Enhanced Cell ID User Plane Location Support;CXC4010964
CXC4011356;7-12 Cell Support;CXC4011356
CXC4011327;Service Specific DRX;CXC4011327
CXC4011376;Automated Mobility Optimization;CXC4011376
CXC4011061;Dynamic QoS Modification;CXC4011061
CXC4011809;;CXC4011809
CXC4010512;Best Neighbor Relations for WCDMA IRAT Offload;CXC4010512
CXC4011251;Relative Priority Scheduling;CXC4011251
CXC4011922;Carrier Aggregation FDD-TDD;CXC4011922
CXC4011262;Dual Layer Beamforming Performance Package;CXC4011262
CXC4011034;Emergency Call Handling for CS Fallback;CXC4011034
CXC4010613;Data Forwarding at Intra-LTE Handover;CXC4010613
CXC4011663;PSHO-Based CS Fallback to UTRAN;CXC4011663
CXC4011822;;CXC4011822
CXC4011917;Support for 13-18 cells in single eNodeB;CXC4011917
CXC4010962;OTDOA Support in SUPL environment;CXC4010962
CXC4011814;Admission Triggered Offload;CXC4011814
CXC4011937;Dynamic Random Access Backoff;CXC4011937
CXC4011815;Multi-Layer Service-Triggered Mobility;CXC4011815
CXC4010959;QoS-Aware Scheduler;CXC4010959
CXC4011479;S-GW Relocation at X2 Handover;CXC4011479
CXC4011346;SRVCC Handover to GERAN;CXC4011346
CXC4011245;Enhanced Cell Id in Traces;CXC4011245
