FeatureStateId;description;featureStateId
CXC4012668;NR Downlink Data and PDCCH Multiplexing;CXC4012668
CXC4012680;NR Service-Adaptive SR Periodicity;CXC4012680
CXC4012703;NR Carrier Aggregation Data Steering;CXC4012703
CXC4012688;NR Service-Adaptive User Plane Profile;CXC4012688
CXC4012800;Ericsson Reduced Capability Sector Carrier;CXC4012800
CXC4012707;NR Unified Access Control for Mission-Critical Services;CXC4012707
CXC4012705;NR Unified Access Control;CXC4012705
CXC4012694;Advanced MLC;CXC4012694
CXC4012565;NR Restricted Drive Test;CXC4012565
CXC4012517;NR PM Initiated UE Measurements;CXC4012517
CXC4012348;NR Virtual Packet Processing;CXC4012348
CXC4012421;TM9 with AAS TDD;CXC4012421
CXC4040005;Egress Traffic Shaping;CXC4040005
CXC4011999;MinimizationOfDriveTests;CXC4011999
CXC4012013;Coverage for Reduced Capability UE;CXC4012013
CXC4012583;LTE-NR FDD Spectrum Sharing with Dual Outer Loop Link Adaptation;CXC4012583
CXC4012594;LTE Security-Initiated UE Measurements;CXC4012594
CXC4012666;Category M Flexible Narrowband Support;CXC4012666
CXC4012518;OverTheAirAssistedTimeHoldover;CXC4012518
CXC4012650;NR 4CC DL Carrier Aggregation;CXC4012650
CXC4012280;PIM Mitigation;CXC4012280
CXC4012549;NR Service-Adaptive Inactivity Timer;CXC4012549
CXC4012003;Uplink Scheduling Control for Out-of-Coverage UEs;CXC4012003
CXC4012311;Privileged Access Admission Balancing;CXC4012311
CXC4012241;Elastic RAN Uplink Coordinated Multi-Point Reception;CXC4012241
CXC4012568;8x4 Octal Antenna Downlink Performance Package;CXC4012568
CXC4012345;6CC DL Carrier Aggregation Extension;CXC4012345
CXC4012240;Robust SRVCC Handover at Call Setup;CXC4012240
CXC4011973;Uplink Carrier Aggregation;CXC4011973
CXC4011969;256-QAM Downlink;CXC4011969
CXC4012043;Coverage for Low Complexity UE;CXC4012043
CXC4012562;UE Location Information in Traces;CXC4012562
CXC4012602;DMRS-Based Downlink Multi-User MIMO;CXC4012602
CXC4012344;256-QAM Uplink;CXC4012344
CXC4012325;Streaming of PM Events;CXC4012325
CXC4012416;TM9 Capability-Aware Idle Mode Control;CXC4012416
CXC4012129;Data-Aware Uplink Scheduling;CXC4012129
CXC4012278;PLMN-Specific Access Barring;CXC4012278
CXC4012453;VoLTE Inactivity Timer Extension;CXC4012453
CXC4012089;Differential Uplink Power Control;CXC4012089
CXC4012120;Progressive Access Barring;CXC4012120
CXC4012256;Atmospheric Duct Interference Reduction;CXC4012256
CXC4012081;NB-IoT Access;CXC4012081
CXC4012413;NB-IoT Multiple Non-Anchor Carriers;CXC4012413
CXC4012659;NR Rate-Controlled Scheduling;CXC4012659
CXC4012451;Nb-Iot Dynamic Random Access Backoff;CXC4012451
CXC4040008;PTP Slave for Time and Phase Synchronization;CXC4040008
CXC4012494;Zero Interference VoLTE Operation;CXC4012494
CXC4012492;256-QAM Uplink Low/Mid-Band;CXC4012492
CXC4012578;LTE Emergency Call Handling with NR Standalone;CXC4012578
CXC4012687;LTE Load-Based Uplink RLC Retransmission Threshold;CXC4012687
CXC4012123;Automatic SCell Management;CXC4012123
CXC4012373;DFTS-OFDM Waveform in Uplink;CXC4012373
CXC4012326;Downlink User Plane Latency Reduction;CXC4012326
CXC4012611;NR Configurable Maximum UE Throughput;CXC4012611
CXC4012536;Directional Interference Mitigation;CXC4012536
CXC4012425;Category M Release Assistance Indicator;CXC4012425
CXC4040002;Ethernet Link Aggregation;CXC4040002
CXC4012576;NB-IoT Relaxed Monitoring for Cell Reselection;CXC4012576
CXC4012539;Category M Enhanced Mpdcch Capacity;CXC4012539
CXC4012020;Supplemental Downlink with License-Assisted Access;CXC4012020
CXC4012595;LTE-NR FDD Spectrum Sharing with Tunable NR Subframes;CXC4012595
CXC4012545;Category M Enhanced Random Access in Poor Coverage;CXC4012545
CXC4012641;NB-IoT Random Access Response Multiplexing;CXC4012641
CXC4012603;Uplink-Triggered VoLTE Mobility;CXC4012603
CXC4012260;Soft Reduction Of Cell Tx Power;CXC4012260
CXC4012480;Enhanced NR Restriction;CXC4012480
CXC4012548;NR Service-Adaptive DRX;CXC4012548
CXC4012475;Priority Controlled Scheduling;CXC4012475
CXC4012317;Enhanced Beamforming for TM9 with AAS FDD;CXC4012317
CXC4012396;;CXC4012396
CXC4012022;Transport Path Characteristics Monitoring;CXC4012022
CXC4012418;NB-IoT Release Assistance Indicator;CXC4012418
CXC4012424;PRACH Enhancements Low-Band;CXC4012424
CXC4012318;Category M Flexible Uplink Channel Allocation;CXC4012318
CXC4012604;Security Package ITSAR;CXC4012604
CXC4012495;Inter-Vendor EN-DC-Triggered Handover during Setup;CXC4012495
CXC4012555;PSCell Change to Higher Priority;CXC4012555
CXC4012525;LTE AI Powered SCell Selection;CXC4012525
CXC4012018;Adaptive RLC Poll-Retransmission;CXC4012018
CXC4012571;Dual-Layer Downlink Multi-User MIMO;CXC4012571
CXC4012554;LTE-NR FDD Spectrum Sharing with Downlink Data and DMRS Multiplexing;CXC4012554
