####################################################################################################################################                                                                                                   
MO Class                                                Attribute                             References                                                                                                                               
GNBCUUP.DcDlCfg                                         reservedBy[]                          GNBCUUP.DrbUeCfg[0-]                                                                                                                     
GNBCUUP.Drb                                             reservedBy[]                          GNBCUUP.CUUP5qi[0-]                                                                                                                      
GNBCUUP.EndpointResource                                reservedBy[]                          GNBCUUP.GNBCUUPFunction[0-],GNBCUUP.GtpuSupervisionProfile[0-],GNBCUUP.ResourcePartitionMember[0-]                                       
GNBCUUP.L4sCfg                                          reservedBy[]                          GNBCUUP.DrbUeCfg[0-]                                                                                                                     
GNBDU.AqmCfg                                            reservedBy[]                          GNBDU.DrbUpUeCfg[0-]                                                                                                                     
GNBDU.BWP                                               reservedBy[]                          GNBDU.BWPSetCfg[0-],GNBDU.BWPSet[0-],GNBDU.NRCellDU[0-]                                                                                  
GNBDU.BWPSet                                            reservedBy[]                          GNBDU.NRCellDU[0-]                                                                                                                       
GNBDU.BsrUeCfg                                          reservedBy[]                          GNBDU.UeBbProfileUeCfg[0-]                                                                                                               
GNBDU.CaSCellHandling                                   reservedBy[]                          GNBDU.NRCellDU[0-]                                                                                                                       
GNBDU.CellPriorityShift                                 reservedBy[]                          GNBDU.NRCellDU[0-]                                                                                                                       
GNBDU.CellResourceMapping                               reservedBy[]                          GNBDU.NRCellDU[0-]                                                                                                                       
GNBDU.CgSwitch                                          reservedBy[]                          GNBDU.NRCellDU[0-]                                                                                                                       
GNBDU.CgSwitchCfg                                       reservedBy[]                          GNBDU.CgSwitchUeCfg[0-]                                                                                                                  
GNBDU.ConfiguredGrantUeCfg                              reservedBy[]                          GNBDU.UeBbProfileUeCfg[0-]                                                                                                               
GNBDU.CsiProfileUeCfg                                   reservedBy[]                          GNBDU.UeBbProfileUeCfg[0-]                                                                                                               
GNBDU.DU5qiTable                                        reservedBy[]                          GNBDU.ResourcePartition[0-]                                                                                                              
GNBDU.DlMimoUeCfg                                       reservedBy[]                          GNBDU.UeBbProfileUeCfg[0-]                                                                                                               
GNBDU.DrbRlc                                            reservedBy[]                          GNBDU.DU5qi[0-]                                                                                                                          
GNBDU.DrbUp                                             reservedBy[]                          GNBDU.DU5qi[0-]                                                                                                                          
GNBDU.DrxProfile                                        reservedBy[]                          GNBDU.NRCellDU[0-]                                                                                                                       
GNBDU.DynPowerOpt                                       reservedBy[]                          GNBDU.BWPSetCfg[0-]                                                                                                                      
GNBDU.EndpointResource                                  reservedBy[]                          GNBDU.GNBDUFunction[0-],GNBDU.ResourcePartitionMember[0-]                                                                                
GNBDU.ExtCaPriority                                     reservedBy[]                          GNBDU.NRCellDU[0-]                                                                                                                       
GNBDU.HarqUeCfg                                         reservedBy[]                          GNBDU.UeBbProfileUeCfg[0-]                                                                                                               
GNBDU.L4sCfg                                            reservedBy[]                          GNBDU.DU5qi[0-],GNBDU.DUModified5qiUeCfg[0-]                                                                                             
GNBDU.LinkAdaptationUeCfg                               reservedBy[]                          GNBDU.UeBbProfileUeCfg[0-]                                                                                                               
GNBDU.LogicalChannel                                    reservedBy[]                          GNBDU.DU5qi[0-],GNBDU.DUModified5qiUeCfg[0-]                                                                                             
GNBDU.MMimoSleepProfile                                 reservedBy[]                          GNBDU.MMimoSleepTimeWindow[0-]                                                                                                           
GNBDU.MMimoSleepTimeGroup                               reservedBy[]                          GNBDU.NRSectorCarrier[0-]                                                                                                                
GNBDU.NRSectorCarrier                                   reservedBy[]                          GNBDU.NRCellDU[0-]                                                                                                                       
GNBDU.PdcchReuseForPdsch                                reservedBy[]                          GNBDU.NRCellDU[0-]                                                                                                                       
GNBDU.PowerControlUeCfg                                 reservedBy[]                          GNBDU.UeBbProfileUeCfg[0-]                                                                                                               
GNBDU.PreschedulingUeCfg                                reservedBy[]                          GNBDU.UeBbProfileUeCfg[0-]                                                                                                               
GNBDU.PrototypeConfigUeCfg                              reservedBy[]                          GNBDU.UeBbProfileUeCfg[0-]                                                                                                               
GNBDU.PuschRep                                          reservedBy[]                          GNBDU.DU5qi[0-]                                                                                                                          
GNBDU.Rach                                              reservedBy[]                          GNBDU.NRCellDU[0-]                                                                                                                       
GNBDU.ResourceAllocTypeDl                               reservedBy[]                          GNBDU.NRCellDU[0-]                                                                                                                       
GNBDU.ResourceAllocationPolicy                          reservedBy[]                          GNBDU.PartitionMapping[0-]                                                                                                               
GNBDU.ResourcePartition                                 reservedBy[]                          GNBDU.PartitionMapping[0-]                                                                                                               
GNBDU.ResourceShareLimit                                reservedBy[]                          GNBDU.ResourceAllocationPolicy[0-]                                                                                                       
GNBDU.RimOffloadUeCfg                                   reservedBy[]                          GNBDU.UeBbProfileUeCfg[0-]                                                                                                               
GNBDU.RimRSSet                                          reservedBy[]                          GNBDU.NRCellDU[0-]                                                                                                                       
GNBDU.RrpController                                     reservedBy[]                          GNBDU.ResourceAllocationPolicy[0-]                                                                                                       
GNBDU.SchedulingProfile                                 reservedBy[]                          GNBDU.DU5qi[0-],GNBDU.DUModified5qiUeCfg[0-]                                                                                             
GNBDU.SessionLimit                                      reservedBy[]                          GNBDU.TrafficGroupMember[0-]                                                                                                             
GNBDU.SrHandling                                        reservedBy[]                          GNBDU.DU5qi[0-],GNBDU.DUModified5qiUeCfg[0-]                                                                                             
GNBDU.SrPeriodicity                                     reservedBy[]                          GNBDU.NRCellDU[0-]                                                                                                                       
GNBDU.SrPeriodicityPoolSet                              reservedBy[]                          GNBDU.NRCellDU[0-]                                                                                                                       
GNBDU.SrbPriority                                       reservedBy[]                          GNBDU.NRCellDU[0-]                                                                                                                       
GNBDU.SssgSwitch                                        reservedBy[]                          GNBDU.NRCellDU[0-]                                                                                                                       
GNBDU.SssgSwitchPwrOpt                                  reservedBy[]                          GNBDU.SssgSwitchUeCfg[0-]                                                                                                                
GNBDU.TrafficGroup                                      reservedBy[]                          GNBDU.NRCellDU[0-]                                                                                                                       
GNBDU.UeBbProfile                                       reservedBy[]                          GNBDU.NRCellDU[0-]                                                                                                                       
GNBDU.UlServiceDefinitionUeCfg                          reservedBy[]                          GNBDU.UeBbProfileUeCfg[0-]                                                                                                               
GNBDU.UlWfPortSwitchUeCfg                               reservedBy[]                          GNBDU.UeBbProfileUeCfg[0-]                                                                                                               
Lrat.AbConfProfile                                      reservedBy[]                          Lrat.NbIotCell[0-]                                                                                                                       
