####################################################################################################################################                                                                                                   
MO Class                                                Attribute                             References                                                                                                                               
RmeSectorEquipmentFunction.SectorEquipmentFunction      reservedBy[]                          GNBDU.NRSectorCarrier[0-],Grat.ExtTrx[0-],Grat.Trx[0-],Lrat.SectorCarrier[0-],Wrat.NodeBFunction[0-1],Wrat.NodeBSectorCarrier[0-8]       
RsyncFrequencySyncIO.FrequencySyncIO                    reservedBy[]                          RsyncRadioEquipmentClock.RadioEquipmentClockReference[0-]                                                                                
RsyncFronthaul.FronthaulBoundaryOrdinaryClock           reservedBy[]                          RsyncFronthaulReference.FronthaulReference[0-]                                                                                           
RsyncNtp.NtpFrequencySync                               reservedBy[]                          RsyncRadioEquipmentClock.RadioEquipmentClockReference[0-]                                                                                
RsyncOverTheAirSync.OverTheAirSync                      reservedBy[]                          RsyncRadioEquipmentClock.AssistingReference[0-]                                                                                          
RsyncPtp.BoundaryOrdinaryClock                          reservedBy[]                          RsyncRadioEquipmentClock.AssistingReference[0-],RsyncRadioEquipmentClock.RadioEquipmentClockReference[0-]                                
RsyncSyncEthInput.SyncEthInput                          reservedBy[]                          RsyncRadioEquipmentClock.AssistingReference[0-],RsyncRadioEquipmentClock.RadioEquipmentClockReference[0-]                                
RsyncTimeSyncIO.TimeSyncIO                              reservedBy[]                          RsyncRadioEquipmentClock.RadioEquipmentClockReference[0-]                                                                                
RtnAuthenticationServer.AuthenticationServer            reservedBy[]                          RtnDot1xAuthenticatorPort.Dot1xAuthenticatorPort[0-]                                                                                     
RtnBfdProfile.BfdProfile                                reservedBy[]                          RtnL3InterfaceIPv4.InterfaceIPv4[0-],RtnL3InterfaceIPv6.InterfaceIPv6[0-],RtnRoutesPeerIPv4.PeerIPv4[0-],RtnRoutesPeerIPv6.PeerIPv6[0-]  
RtnBridging.Bridge                                      reservedBy[]                          RtnL3InterfaceIPv4.InterfaceIPv4[0-],RtnL3InterfaceIPv6.InterfaceIPv6[0-]                                                                
RtnDnsClient.DnsClient                                  reservedBy[]                          GNBCUCP.LocalDnsEndpoint[0-],Lrat.AdditionalCoreNetwork[0-],Lrat.ENodeBFunction[0-]                                                      
RtnDot1xSupplicant.Dot1xSupplicant                      reservedBy[]                          RtnL2EthernetPort.EthernetPort[0-]                                                                                                       
RtnIPv4ACLPolicy.AclIpv4                                reservedBy[]                          RtnL3InterfaceIPv4.InterfaceIPv4[0-]                                                                                                     
RtnIPv6ACLPolicy.AclIpv6                                reservedBy[]                          RtnL3InterfaceIPv6.InterfaceIPv6[0-]                                                                                                     
RtnIkev2PolicyProfile.Ikev2PolicyProfile                reservedBy[]                          RtnIpsec.Ikev2Session[0-],RtnPeerIpsecProfile.PeerIpsecProfile[0-]                                                                       
RtnIpsec.IpsecTunnel                                    reservedBy[]                          RtnL3InterfaceIPv4.InterfaceIPv4[0-],RtnL3InterfaceIPv6.InterfaceIPv6[0-]                                                                
RtnIpsecProposalProfile.IpsecProposalProfile            reservedBy[]                          RtnIpsec.IpsecPolicy[0-],RtnPeerIpsecProfile.PeerIpsecProfile[0-]                                                                        
RtnL2EthernetPort.EthernetPort                          reservedBy[]                          RsyncPtpBcOcPort.PtpBcOcPort[0-],RsyncSyncEthInput.SyncEthInput[0-],RtnEthernetOam.EthernetOamLocalMep[0-],RtnL2LagPort.LagPort[0-],RtnL2
VlanPort.VlanPort[0-],RtnL3InterfaceIPv4.InterfaceIPv4[0-],RtnL3InterfaceIPv6.InterfaceIPv6[0-]                                                                                                                                        
RtnL2LagPort.LagPort                                    reservedBy[]                          RtnEthernetOam.EthernetOamLocalMep[0-],RtnL2VlanPort.VlanPort[0-],RtnL3InterfaceIPv4.InterfaceIPv4[0-],RtnL3InterfaceIPv6.InterfaceIPv6[0
-]                                                                                                                                                                                                                                     
RtnL2VlanPort.VlanPort                                  reservedBy[]                          Fgw.FgwControl[0-],Fgw.FgwService[0-],GNBDU.ExtGNBDUPartnerFunction[0-],GNBDU.GNBDUFunction[0-],Lrat.ENodeBFunction[0-],Lrat.EranInterMeL
ink[0-],Lrat.ExternalENodeBFunction[0-],Lrat.ExternalGNodeBFunction[0-],RsyncPtpBcOcPort.PtpBcOcPort[0-],RtnBridging.Bridge[0-],RtnEthernetOam.EthernetOamLocalMep[0-],RtnEthernetVirtualConnection.EthernetVirtualConnection[0-],RtnL3
InterfaceIPv4.InterfaceIPv4[0-],RtnL3InterfaceIPv6.InterfaceIPv6[0-]                                                                                                                                                                   
RtnL3InterfaceIPv4.AddressIPv4                          reservedBy[]                          ECIM_CertM.EnrollmentServer[0-],ECIM_CertM.TrustCategory[0-],GNBCUCP.LocalA1Endpoint[0-],GNBCUCP.LocalIpEndpoint[0-],GNBCUUP.LocalIPsecEn
dpoint[0-],GNBCUUP.LocalIpEndpoint[0-],GNBDU.LocalIpEndpoint[0-],Grat.AbisIp[0-],Lrat.AdditionalCoreNetwork[0-],Lrat.ENodeBFunction[0-],RcsSysM.OamAccessPoint[0-],RmeSf.ServiceFinder[0-],RsyncNtp.NtpFrequencySync[0-],RsyncPtpBcOcPo
rt.PtpBcOcPort[0-],RtnDhcpRelayIPv4.DhcpRelayIPv4[0-],RtnDnsClient.DnsClient[0-],RtnIpsec.IpsecTunnel[0-],RtnOSPFv2.Interface[0-],RtnSctp.SctpEndpoint[0-],RtnTransportAutomationAgent.TransportAutomationAgent[0-],RtnTwampInitiator.T
wampTestSession[0-],RtnTwampResponder.TwampResponder[0-],Wrat.Iub[0-]                                                                                                                                                                  
RtnL3InterfaceIPv4.InterfaceIPv4                        reservedBy[]                          Lrat.Mbms[0-],RtnPBRIPv4.NextHop[0-],RtnRoutesStaticRouteIPv4.NextHop[0-]                                                                
RtnL3InterfaceIPv6.AddressIPv6                          reservedBy[]                          ECIM_CertM.EnrollmentServer[0-],ECIM_CertM.TrustCategory[0-],GNBCUCP.LocalA1Endpoint[0-],GNBCUCP.LocalIpEndpoint[0-],GNBCUUP.LocalIPsecEn
dpoint[0-],GNBCUUP.LocalIpEndpoint[0-],GNBDU.LocalIpEndpoint[0-],Grat.AbisIp[0-],Lrat.AdditionalCoreNetwork[0-],Lrat.ENodeBFunction[0-],RcsSysM.OamAccessPoint[0-],RmeSf.ServiceFinder[0-],RsyncPtpBcOcPort.PtpBcOcPort[0-],RtnDhcpRela
yIPv6.DhcpRelayIPv6[0-],RtnDnsClient.DnsClient[0-],RtnIpsec.IpsecTunnel[0-],RtnSctp.SctpEndpoint[0-],RtnTransportAutomationAgent.TransportAutomationAgent[0-],RtnTwampInitiator.TwampTestSession[0-],RtnTwampResponder.TwampResponder[0
-]                                                                                                                                                                                                                                     
RtnL3InterfaceIPv6.InterfaceIPv6                        reservedBy[]                          Lrat.Mbms[0-],RtnPBRIPv6.NextHop[0-],RtnRoutesStaticRouteIPv6.NextHop[0-]                                                                
RtnL3Router.Router                                      reservedBy[]                          RtnRoutesStaticRouteIPv4.NextHop[0-],RtnRoutesStaticRouteIPv6.NextHop[0-]                                                                
RtnPBRIPv4.RoutingPolicyIpv4                            reservedBy[]                          RtnL3InterfaceIPv4.InterfaceIPv4[0-],RtnL3Router.Router[0-]                                                                              
RtnPBRIPv6.RoutingPolicyIpv6                            reservedBy[]                          RtnL3Router.Router[0-]                                                                                                                   
RtnQoSSystem.PcpToQueueMap                              reservedBy[]                          RtnL2EthernetPort.EthernetPort[0-],RtnL2VlanPort.VlanPort[0-]                                                                            
RtnQoSSystem.QueueRed                                   reservedBy[]                          RtnQoSSystem.PcpSetToQueue[0-],RtnQoSSystem.PcpToQueueMap[0-]                                                                            
RtnQoSSystem.QueueTailDrop                              reservedBy[]                          RtnQoSSystem.PcpSetToQueue[0-],RtnQoSSystem.PcpToQueueMap[0-]                                                                            
RtnQosProfiles.DscpDscpMap                              reservedBy[]                          RtnL2EthernetPort.EthernetPort[0-],RtnL2VlanPort.VlanPort[0-],RtnL3InterfaceIPv4.InterfaceIPv4[0-],RtnL3InterfaceIPv6.InterfaceIPv6[0-]  
RtnQosProfiles.DscpPcpMap                               reservedBy[]                          RtnL2EthernetPort.EthernetPort[0-],RtnL2VlanPort.VlanPort[0-],RtnL3InterfaceIPv4.InterfaceIPv4[0-],RtnL3InterfaceIPv6.InterfaceIPv6[0-]  
RtnQosProfiles.PcpPcpMap                                reservedBy[]                          RtnL2EthernetPort.EthernetPort[0-],RtnL2VlanPort.VlanPort[0-]                                                                            
RtnRoutesPeerIPv4.PeerIPv4                              reservedBy[]                          RtnDhcpRelayIPv4.DhcpRelayIPv4[0-],RtnIpsec.IpsecTunnel[0-]                                                                              
RtnRoutesPeerIPv6.PeerIPv6                              reservedBy[]                          RtnDhcpRelayIPv6.DhcpRelayIPv6[0-],RtnIpsec.IpsecTunnel[0-]                                                                              
RtnSctp.SctpEndpoint                                    reservedBy[]                          GNBCUCP.LocalSctpEndpoint[0-],GNBDU.LocalSctpEndpoint[0-],Lrat.AdditionalCoreNetwork[0-],Lrat.ENodeBFunction[0-],Wrat.NbapCommon[0-],Wrat
.NbapDedicated[0-]                                                                                                                                                                                                                     
RtnSctpProfile.SctpProfile                              reservedBy[]                          RtnSctp.SctpEndpoint[0-]                                                                                                                 
Wrat.NodeBLocalCell                                     reservedBy[]                          Wrat.NodeBLocalCellGroup[0-]
