specificProblem,eventType,probableCause,perceivedSeverity,MO Class Name,Model
Resource Configuration Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,PimCancellationFunction,NodeSupport
Resource Configuration Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,SectorEquipmentFunction,NodeSupport
Resource Configuration Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,SyncPort,Equipment
Resource Configuration Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,Trx,BtsFunction
Resource Configuration Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,UlCompGroup,ENodeBFunction
Indoor RAP Configuration Not Supported,equipmentAlarm,x733EquipmentMalfunction,MINOR,FieldReplaceableUnit,Equipment
PIM Desense Over Threshold,equipmentAlarm,gsm1211AntennaProblem,MINOR,RfPort,Equipment
PLMN Service Degraded,communicationsAlarm,m3100Unavailable,MINOR,EUtranCellFDD,ENodeBFunction
PLMN Service Degraded,communicationsAlarm,m3100Unavailable,MINOR,EUtranCellTDD,ENodeBFunction
PLMN Service Degraded,communicationsAlarm,m3100Unavailable,MINOR,NbIotCell,ENodeBFunction
Battery Level Low,environmentalAlarm,m3100LowBatteryThreshold,MINOR,BatteryBackup,EquipmentSupportFunction
Inter Node Carrier Aggregation Service Degraded,qualityOfServiceAlarm,x733PerformanceDegraded,MINOR,ExtGNBDUPartnerFunction,GNBDUFunction
Link Failure,equipmentAlarm,x733EquipmentMalfunction,MINOR,DiLink,Equipment
Link Failure,equipmentAlarm,x733EquipmentMalfunction,MINOR,RiLink,Equipment
Battery Discharge Current High Main Load Disconnected,environmentalAlarm,m3100BatteryDischarging,MAJOR,BatteryBackup,EquipmentSupportFunction
IKE Configuration Payload Fault,communicationsAlarm,x733CommunicationsProtocolError,MAJOR,Ikev2Session,Transport
LMT Cable Present,physicalViolation,x736CableTamper,WARNING,LmtAlarmControl,SystemFunctions
Calendar Clock NTP Time out of Bounds,processingErrorAlarm,m3100LossOfRealTimel,WARNING,Ntp,SystemFunctions
Inter Node Carrier Aggregation Service Unavailable,communicationsAlarm,m3100Unavailable,MINOR,ExtGNBDUPartnerFunction,GNBDUFunction
Inter Node Carrier Aggregation Service Unavailable,communicationsAlarm,m3100Unavailable,MINOR,ExternalENodeBFunction,GNBCUCPFunction
Indoor RAP Desensitization Noise Figure Out of Range,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,SectorEquipmentFunction,NodeSupport
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,AbisIp,BtsFunction
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,EUtranCellFDD,ENodeBFunction
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,EUtranCellTDD,ENodeBFunction
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,ExtOamAgent,Equipment
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,ExtTrx,BtsFunction
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,NRCellDU,GNBDUFunction
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NRSectorCarrier,GNBDUFunction
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,NbIotCell,ENodeBFunction
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,NodeBLocalCell,NodeBFunction
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,ORadio,Equipment
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,SectorEquipmentFunction,NodeSupport
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,ThirdPartyRiPort,Equipment
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,Trx,BtsFunction
Indoor RAP SW Error,processingErrorAlarm,x733SoftwareError,MINOR,FieldReplaceableUnit,Equipment
Theft Deterrence Board Restore Pending,processingErrorAlarm,x733ConfigurationOrCustomizationError,CRITICAL,TheftDeterrence,SystemFunctions
License Integration Unlock Activated,processingErrorAlarm,x733ConfigurationOrCustomizationError,WARNING,IntegrationUnlock,SystemFunctions
EFuse Tripped,environmentalAlarm,m3100FuseFailure,MINOR,EFuse,Equipment
Resource Allocation Failure Service Degraded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,EUtranCellFDD,ENodeBFunction
Resource Allocation Failure Service Degraded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,EUtranCellTDD,ENodeBFunction
Resource Allocation Failure Service Degraded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,ExtTrx,BtsFunction
Resource Allocation Failure Service Degraded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NRSectorCarrier,GNBDUFunction
Resource Allocation Failure Service Degraded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NbIotCell,ENodeBFunction
Resource Allocation Failure Service Degraded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NodeBLocalCell,NodeBFunction
Resource Allocation Failure Service Degraded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NodeBSectorCarrier,NodeBFunction
Resource Allocation Failure Service Degraded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,SectorCarrier,ENodeBFunction
Resource Allocation Failure Service Degraded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,Trx,BtsFunction
Battery Voltage Too Low Prio Load Disconnected,equipmentAlarm,x733EquipmentMalfunction,MAJOR,PowerDistribution,EquipmentSupportFunction
Indoor RAP Incompatible HW Configuration,processingErrorAlarm,x733ConfigurationOrCustomizationError,WARNING,RdiPort,Equipment
Battery Backup Time Too Short,environmentalAlarm,m3100BatteryFailure,MAJOR,BatteryBackup,EquipmentSupportFunction
ORadio Carrier Configuration Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NRSectorCarrier,GNBDUFunction
Missing SXU,equipmentAlarm,m3100ReplaceableUnitMissing,MAJOR,FieldReplaceableUnit,Equipment
SFP Not Present,equipmentAlarm,m3100ReplaceableUnitMissing,MINOR,SfpModule,Equipment
A Fallback Operation will soon be started,processingErrorAlarm,timeoutExpired,WARNING,UpgradePackage,SystemFunctions
Battery Voltage Too Low Main Load Disconnected,equipmentAlarm,x733EquipmentMalfunction,MAJOR,PowerDistribution,EquipmentSupportFunction
Sync Frequency Reference Not Reliable,communicationsAlarm,m3100Unavailable,WARNING,RadioEquipmentClockReference,Transport
License System Triggered Unlock Expired,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,Lm,SystemFunctions
Indoor RAP Cable Insertion Loss,equipmentAlarm,x733EquipmentMalfunction,MINOR,RdiPort,Equipment
Clock Reference Missing For Long Time,equipmentAlarm,gsm1211ClockSynchronisationProblem,WARNING,RadioEquipmentClock,Transport
Cell Service Degraded Auto Recovery Initiated Alert,other,m3100Indeterminate,WARNING,NRCellDU,GNBDUFunction
Service Degraded,qualityOfServiceAlarm,x733PerformanceDegraded,MINOR,EUtranCellFDD,ENodeBFunction
Service Degraded,qualityOfServiceAlarm,x733PerformanceDegraded,MINOR,EUtranCellRelation,GNBCUCPFunction
Service Degraded,qualityOfServiceAlarm,x733PerformanceDegraded,MINOR,EUtranCellTDD,ENodeBFunction
Service Degraded,qualityOfServiceAlarm,x733PerformanceDegraded,MINOR,NRCellDU,GNBDUFunction
Service Degraded,qualityOfServiceAlarm,x733PerformanceDegraded,MINOR,NbIotCell,ENodeBFunction
Resource Allocation Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,EUtranCellFDD,ENodeBFunction
Resource Allocation Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,EUtranCellTDD,ENodeBFunction
Resource Allocation Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,ExtTrx,BtsFunction
Resource Allocation Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,MbmsService,ENodeBFunction
Resource Allocation Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NRSectorCarrier,GNBDUFunction
Resource Allocation Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,NbIotCell,ENodeBFunction
Resource Allocation Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,NodeBLocalCell,NodeBFunction
Resource Allocation Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,NodeBSectorCarrier,NodeBFunction
Resource Allocation Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,PimCancellationFunction,NodeSupport
Resource Allocation Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,SectorCarrier,ENodeBFunction
Resource Allocation Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,Trx,BtsFunction
GNBCUUP Service Unavailable,communicationsAlarm,m3100Unavailable,MAJOR,GNBCUCPFunction,GNBCUCPFunction
Indoor RAP Inconsistent Configuration,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,DotGroupConfig,Equipment
Indoor RAP Inconsistent Configuration,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,MulticastAntennaBranch,Equipment
Indoor RAP Inconsistent Configuration,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,RdData,Equipment
Cell Service Unavailable Auto Recovery Initiated Alert,other,m3100Indeterminate,WARNING,EUtranCellFDD,ENodeBFunction
Cell Service Unavailable Auto Recovery Initiated Alert,other,m3100Indeterminate,WARNING,EUtranCellTDD,ENodeBFunction
Cell Service Unavailable Auto Recovery Initiated Alert,other,m3100Indeterminate,WARNING,NRCellDU,GNBDUFunction
Cell Service Unavailable Auto Recovery Initiated Alert,other,m3100Indeterminate,WARNING,NbIotCell,ENodeBFunction
Cell Service Unavailable Auto Recovery Initiated Alert,other,m3100Indeterminate,WARNING,NodeBLocalCell,NodeBFunction
Temperature High,environmentalAlarm,m3100HighTemperature,WARNING,FieldReplaceableUnit,Equipment
ALD Failure,equipmentAlarm,x733EquipmentMalfunction,MINOR,AntennaNearUnit,Equipment
IPL Link Failure,equipmentAlarm,gsm1211LinkFailure,MINOR,IplPort,Equipment
Not Possible to Start AILG,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,EUtranCellFDD,ENodeBFunction
Not Possible to Start AILG,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,EUtranCellTDD,ENodeBFunction
