Status Metier;Famille;Nom Kpi;Ordre Affichage;Prioritaire;Definition courte;Definition longue;Numerateur;Denominateur;Commentaire;Unites;Techno;Equipement;Palier;Borne Min;Borne Max;Orientation;Application;Valeur Defaut;Nom BdD;Createur;Etat
OK;IFLB;LBDAR_Rel_MedHigh_ratio;64;Secondaire;% of times a frequency is prioritized as target for cell reselection during idle mode at medium-high load.;% of times a frequency is prioritized as target for cell reselection during idle mode at medium-high load.;100*`pmIdleModeRelDistrMediumHighLoad`;`pmIdleModeRelDistrHighLoad`+`pmIdleModeRelDistrLowLoad`+`pmIdleModeRelDistrLowMediumLoad`+`pmIdleModeRelDistrMediumHighLoad`+`pmIdleModeRelDistrMediumLoad`;;%;Ericsson 4G;Cellule,Enodeb;Tous;;;0;osiris&query;;LBDAR_Rel_MedHigh_ratio;Cardenas Alvaro;In Production
OK;IFLB;LBDAR_Rel_Med_ratio;63;Secondaire;% of times a frequency is prioritized as target for cell reselection during idle mode at medium load;% of times a frequency is prioritized as target for cell reselection during idle mode at medium load;100*`pmIdleModeRelDistrMediumLoad`;`pmIdleModeRelDistrHighLoad`+`pmIdleModeRelDistrLowLoad`+`pmIdleModeRelDistrLowMediumLoad`+`pmIdleModeRelDistrMediumHighLoad`+`pmIdleModeRelDistrMediumLoad`;;%;Ericsson 4G;Cellule,Enodeb;Tous;;;0;osiris&query;;LBDAR_Rel_Med_ratio;Cardenas Alvaro;In Production
OK;IFLB;LB_SUBSCRIPTION_RATIO_AVG;10;Primaire;Records the subscription ratio as the result of the traffic load assessment at every load balancing cycle. The values are accumulated each ROP  allowing the average subscription ratio to be presented for each period.;Records the subscription ratio as the result of the traffic load assessment at every load balancing cycle. The values are accumulated each ROP  allowing the average subscription ratio to be presented for each period.;`pmLbSubRatioSum`;(10*`pmLbSubRatioSamp`);;%;Ericsson 4G;Cellule,Enodeb;Tous;null;null;0;osiris&query;;LB_SUBSCRIPTION_RATIO_AVG;Cardenas Alvaro;In Production
OK;Licence;LicConnectedUsersAvg;3;Secondaire;nb moyen de license users utilisee;nb moyen de license users utilisee  (echantillonage de 5s);`pmLicConnectedUserslevSum`;`pmLicConnectedUserslevSamp`;;;Ericsson 4G;Enodeb;Tous;;;0;osiris&query;;LicConnectedUsersAvg;Bouvatier Cécile;In Production
OK;Licence;LicConnectedUsersLicense;1;Secondaire;The licensed value for connected users.;The licensed value for connected users.;`pmLicConnectedUsersLicense`;1;;;Ericsson 4G;Enodeb;Tous;;;0;osiris&query;;LicConnectedUsersLicense;Bouvatier Cécile;In Production
OK;Licence;LicConnectedUsersMax;2;Secondaire;Peak number of Connected Users.;Peak number of Connected Users.;`pmLicConnectedUsersMax`;1;;;Ericsson 4G;Enodeb;Tous;;;0;osiris&query;;LicConnectedUsersMax;Bouvatier Cécile;In Production
OK;Licence;LicConnectedUsersTimeCong;2;Secondaire;Accumulated time during the ROP when the number of connected users is equal to the licensed value.;Accumulated time during the ROP when the number of connected users is equal to the licensed value.;`pmLicConnectedUsersTimeCong`;1;;secs;Ericsson 4G;Enodeb;Tous;;;0;osiris&query;;LicConnectedUsersTimeCong;Bouvatier Cécile;In Production
OK;Twamp;lostPktsFwd;51;Secondaire;Number of lost packets in initiator to responder direction. Packet is considered lost after 4 second.;Number of lost packets in initiator to responder direction. Packet is considered lost after 4 second.;(`lostPktsFwd_0`+`lostPktsFwd_1`+`lostPktsFwd_2`+`lostPktsFwd_3`+`lostPktsFwd_4`+`lostPktsFwd_5`+`lostPktsFwd_6`+`lostPktsFwd_7`+`lostPktsFwd_8`+`lostPktsFwd_9`+`lostPktsFwd_10`+`lostPktsFwd_11`+`lostPktsFwd_12`+`lostPktsFwd_13`+`lostPktsFwd_14`);1;;;Ericsson 4G;Enodeb;Tous;;;0;osiris&query;;lostPktsFwd;Cardenas Alvaro;In Production
OK;Twamp;lostPktsRev;51;Secondaire;Number of lost packets in responder to initiator direction. Packet is considered lost after 4 second.;Number of lost packets in responder to initiator direction. Packet is considered lost after 4 second.;(`lostPktsRev_0`+`lostPktsRev_1`+`lostPktsRev_2`+`lostPktsRev_3`+`lostPktsRev_4`+`lostPktsRev_5`+`lostPktsRev_6`+`lostPktsRev_7`+`lostPktsRev_8`+`lostPktsRev_9`+`lostPktsRev_10`+`lostPktsRev_11`+`lostPktsRev_12`+`lostPktsRev_13`+`lostPktsRev_14`);1;;;Ericsson 4G;Enodeb;Tous;;;0;osiris&query;;lostPktsRev;Cardenas Alvaro;In Production
OK;Mobility;Lte_Cell_Mobility_Exec_SR;122;Secondaire;Cell mobility execution success rate;Cell mobility execution success rate;100*(`pmCellHoExeSuccLteIntraF`+`pmCellHoExeSuccLteInterF`+`pmhoExeSucc`-`pmHoExeSuccNonMob`);`pmCellHoExeAttLteIntraF`+`pmCellHoExeAttLteInterF`+`pmhoExeAtt`-`pmHoExeAttNonMob`;;%;Ericsson 4G;Cellule,Enodeb;Tous;null;null;0;osiris&query;;LTE_CELL_HO_EXEC_SR;Cardenas Alvaro;In Production
OK;Mobility;Lte_Cell_Mobility_Prep_SR;120;Secondaire;Cell mobility preparation success rate;Cell mobility preparation success rate;100*(`pmCellHoPrepSuccLteIntraF`+`pmCellHoPrepSuccLteInterF`+`pmhoprepsucc`-`pmHoPrepSuccNonMob`);`pmCellHoPrepAttLteIntraF`+`pmCellHoPrepAttLteInterF`+`pmhoprepatt`-`pmHoPrepAttNonMob`-`pmHoPrepRejOutUlThres`;;%;Ericsson 4G;Cellule,Enodeb;Tous;null;null;0;osiris&query;;LTE_CELL_HO_PREP_SR;Cardenas Alvaro;In Production
OK;Mobility;Lte_Cell_Mobility_SR;124;Secondaire;Cell Mobility succes rate %;Cell Mobility succes rate %;[LTE_CELL_HO_PREP_SR]*[LTE_CELL_HO_EXEC_SR];100;;%;Ericsson 4G;Cellule,Enodeb;Tous;;;0;osiris&query;;LTE_CELL_HO_SR;Cardenas Alvaro;In Production
OK;Mobility;LTE_CELL_INTER_FREQ_HO_EXE_SR;116;Secondaire;Intra LTE inter frequency cell mobility execution success rate;Intra LTE inter frequency cell mobility execution success rate;100*(`pmCellHoExeSuccLteInterF`-`pmHoExeSuccNonMob`);`pmCellHoExeAttLteInterF`-`pmHoExeAttNonMob`;;%;Ericsson 4G;Cellule,Enodeb;Tous;null;null;0;osiris&query;;LTE_CELL_INTER_FREQ_HO_EXE_SR;Cardenas Alvaro;In Production
OK;Mobility;LTE_CELL_INTER_FREQ_HO_PREP_SR;115;Secondaire;Intra LTE inter frequency cell mobility preparation success rate;Intra LTE inter frequency cell mobility preparation success rate;100*(`pmCellHoPrepSuccLteInterF`-`pmHoPrepSuccNonMob`);`pmCellHoPrepAttLteInterF`-`pmHoPrepAttNonMob`-`pmHoPrepRejOutUlThres`;;%;Ericsson 4G;Cellule,Enodeb;Tous;null;null;0;osiris&query;;LTE_CELL_INTER_FREQ_HO_PREP_SR;Cardenas Alvaro;In Production
OK;VoLte;LTE_INTER_FREQ_HO_QCI1_EXE_SR;10;Secondaire;;;100*(`pmHoExeOutSuccLteInterFQci1`);(`pmHoExeOutAttLteInterFQci1`);;%;Ericsson 4G;Cellule,Enodeb;Tous;null;null;MAXIMIZE;osiris&query;;LTE_CELL_INTER_FREQ_HO_QCI1_EXE_SR;Cardenas Alvaro;In Production
OK;Mobility;LTE_CELL_INTER_FREQ_HO_SR;118;Secondaire;Intra LTE inter frequency cell mobility success rate.;Intra LTE inter frequency cell mobility success rate.;[LTE_CELL_INTER_FREQ_HO_PREP_SR]*[LTE_CELL_INTER_FREQ_HO_EXE_SR];100;;%;Ericsson 4G;Cellule,Enodeb;Tous;;;0;osiris&query;;LTE_CELL_INTER_FREQ_HO_SR;Cardenas Alvaro;In Production
OK;Mobility;LTE_CELL_INTRA_FREQ_HO_EXE_SR;111;Secondaire;%  of successful intra LTE intra frequency handovers;%  of successful intra LTE intra frequency handovers;100*`pmCellHoExeSuccLteIntraF`;`pmCellHoExeAttLteIntraF`;;%;Ericsson 4G;Cellule,Enodeb;Tous;null;null;0;osiris&query;;LTE_CELL_INTRA_FREQ_HO_EXE_SR;Cardenas Alvaro;In Production
